DELETION LOG
============
[Deleted] /Volumes/CeeJay SSD/HDD_Import_20260131/Jayboi_Services_Training/Jayboi_Services_LLC_Training_Guide.pdf (1358494 bytes)
[Deleted] /Volumes/CeeJay SSD/HDD_Import_20260131/Documents/Jayboi_Services_LLC_Training_Guide.pdf (1358494 bytes)
[Deleted] /Volumes/CeeJay SSD/HDD_Import_20260131/Documents/Jayboi_Services_Training/Jayboi_Services_LLC_Training_Guide.pdf (1358494 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/android/app/src/main/assets/public/registerSW.js (134 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/k8s/server-deployment.yaml (2539 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/k8s/server.yaml (1222 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/k8s/web-deployment.yaml (1087 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/k8s/secrets.yaml (582 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/k8s/ingress.yaml (1527 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/k8s/secrets.yaml.example (643 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/k8s/frontend.yaml (1026 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/k8s/hpa.yaml (886 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/k8s/postgres.yaml (1554 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/k8s/namespace.yaml (126 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/k8s/pvc.yaml (438 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/k8s/configmap.yaml (248 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/k8s/backup-cronjob.yaml (1353 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/k8s/redis.yaml (1443 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/production-bundle/README.md (1548 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/production-bundle/deploy-remote.sh (522 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/production-bundle/docker-compose.yml (2207 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/production-bundle/backup-db.sh (590 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/jest.config.js (351 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/package-lock.json (405870 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/package.json (2001 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/prisma/dev.db (135168 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/prisma/migrations/migration_lock.toml (128 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/prisma/migrations/20260110041722_add_financials_v2/migration.sql (501 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/prisma/migrations/20260110025021_add_templates/migration.sql (852 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/prisma/migrations/20260110024325_init_postgres/migration.sql (7138 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/tests/health.test.js (934 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/tests/loadboards.test.js (1762 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/tests/documents.test.js (1804 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/src/connectors/TQLConnector.js (1804 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/tests/setup.js (395 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/logs/error.log (1440 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/logs/combined.log (40099 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/__tests__/loadboard.test.js (3066 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/__tests__/auth.test.js (2217 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/__tests__/notifications.test.js (2902 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/__tests__/audit.test.js (1372 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/__tests__/utils.test.js (1957 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/__tests__/load_management.test.js (3515 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/scripts/migrate.sh (217 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/scripts/backup.sh (732 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/coverage/clover.xml (78460 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/coverage/lcov.info (29978 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/coverage/coverage-final.json (202687 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/coverage/lcov-report/index.html (8816 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/coverage/lcov-report/block-navigation.js (2655 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/coverage/lcov-report/prettify.js (17590 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/coverage/lcov-report/favicon.png (445 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/coverage/lcov-report/prettify.css (676 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/coverage/lcov-report/sorter.js (6731 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/coverage/lcov-report/base.css (5394 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/coverage/lcov-report/sort-arrow-sprite.png (138 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/coverage/lcov-report/connectors/DirectFreightConnector.js.html (11558 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/coverage/lcov-report/connectors/index.html (15038 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/coverage/lcov-report/connectors/CoyoteConnector.js.html (8830 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/coverage/lcov-report/connectors/UberFreightConnector.js.html (10319 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/coverage/lcov-report/connectors/Loadboard123Connector.js.html (9813 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/coverage/lcov-report/connectors/EchoConnector.js.html (8598 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/coverage/lcov-report/connectors/JBHuntConnector.js.html (10134 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/coverage/lcov-report/connectors/NextLOADConnector.js.html (8161 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/coverage/lcov-report/connectors/TQLConnector.js.html (10296 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/coverage/lcov-report/connectors/FMCSAConnector.js.html (17600 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/coverage/lcov-report/connectors/AmazonRelayConnector.js.html (10015 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/coverage/lcov-report/connectors/BaseConnector.js.html (17173 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/coverage/lcov-report/connectors/LoadsmartConnector.js.html (10120 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/coverage/lcov-report/connectors/DATConnector.js.html (17773 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/coverage/lcov-report/connectors/TruckstopConnector.js.html (11113 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/coverage/lcov-report/connectors/TruckerPathConnector.js.html (8622 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/coverage/lcov-report/connectors/CHRobinsonConnector.js.html (10167 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/coverage/lcov-report/connectors/ConvoyConnector.js.html (8655 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/coverage/lcov-report/middleware/authMiddleware.js.html (17932 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/coverage/lcov-report/middleware/index.html (8279 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/coverage/lcov-report/middleware/timeout.js.html (4093 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/coverage/lcov-report/middleware/validator.js.html (20047 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/coverage/lcov-report/middleware/rateLimiter.js.html (14933 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/coverage/lcov-report/middleware/errorHandler.js.html (14780 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/coverage/lcov-report/middleware/errorMiddleware.js.html (8734 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/coverage/lcov-report/middleware/apiVersion.js.html (4222 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/coverage/lcov-report/config/index.html (5006 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/coverage/lcov-report/config/swagger.js.html (22044 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/coverage/lcov-report/config/sentry.js.html (7583 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/coverage/lcov-report/utils/auth.js.html (15621 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/coverage/lcov-report/utils/quickBooksExporter.js.html (8300 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/coverage/lcov-report/utils/audit.js.html (7971 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/coverage/lcov-report/utils/index.html (11424 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/coverage/lcov-report/utils/errors.js.html (12012 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/coverage/lcov-report/utils/encryption.js.html (11881 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/coverage/lcov-report/utils/redis.js.html (7603 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/coverage/lcov-report/utils/envValidator.js.html (11091 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/coverage/lcov-report/utils/carrierScraper.js.html (18096 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/coverage/lcov-report/utils/pdfGenerator.js.html (10505 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/coverage/lcov-report/utils/AppError.js.html (5049 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/coverage/lcov-report/utils/auditLog.js.html (14345 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/coverage/lcov-report/utils/logger.js.html (11420 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/coverage/lcov-report/scripts/seedLoadBoards.js.html (12547 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/coverage/lcov-report/scripts/index.html (4397 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/coverage/lcov-report/routes/loadboards.js.html (42973 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/coverage/lcov-report/routes/auth.js.html (14687 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/coverage/lcov-report/routes/documents.js.html (16125 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/coverage/lcov-report/routes/loads.js.html (16890 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/coverage/lcov-report/routes/index.html (11378 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/coverage/lcov-report/routes/crm.js.html (10630 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/coverage/lcov-report/routes/templates.js.html (23914 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/coverage/lcov-report/routes/carriers.js.html (11171 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/coverage/lcov-report/routes/ai.js.html (22139 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/coverage/lcov-report/routes/payments.js.html (9735 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/coverage/lcov-report/routes/health.js.html (7006 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/coverage/lcov-report/routes/accounting.js.html (17579 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/coverage/lcov-report/routes/compliance.js.html (15558 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/coverage/lcov-report/services/emailService.js.html (10072 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/coverage/lcov-report/services/index.html (6369 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/coverage/lcov-report/services/smsService.js.html (7105 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/coverage/lcov-report/services/marketRateService.js.html (8917 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/coverage/lcov-report/services/notificationService.js.html (14281 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/coverage/lcov-report/services/eld/index.html (7684 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/coverage/lcov-report/services/eld/ELDAdapter.js.html (9006 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/coverage/lcov-report/services/eld/SamsaraAdapter.js.html (6115 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/coverage/lcov-report/services/eld/MotiveAdapter.js.html (6798 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/coverage/lcov-report/services/eld/ELDFactory.js.html (6810 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/coverage/lcov-report/services/eld/GeotabAdapter.js.html (5745 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/coverage/lcov-report/services/eld/OmnitracsAdapter.js.html (4965 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/src/connectors/NextLOADConnector.js (1127 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/src/connectors/Loadboard123Connector.js (1744 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/src/connectors/CoyoteConnector.js (1288 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/src/connectors/TruckerPathConnector.js (1218 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/src/connectors/AmazonRelayConnector.js (1871 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/src/connectors/CHRobinsonConnector.js (1753 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/src/connectors/TruckstopConnector.js (2036 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/src/connectors/JBHuntConnector.js (1728 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/src/connectors/EchoConnector.js (1208 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/src/connectors/ConvoyConnector.js (1261 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/src/connectors/FMCSAConnector.js (3440 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/src/connectors/DirectFreightConnector.js (2228 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/src/connectors/DATConnector.js (3812 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/src/connectors/UberFreightConnector.js (1928 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/src/connectors/LoadsmartConnector.js (1708 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/src/connectors/BaseConnector.js (3148 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Tech Trap Solutions/app/src/pages/About.jsx (3148 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/src/middleware/apiVersion.js (145 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/src/middleware/authMiddleware.js (2476 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/src/middleware/timeout.js (165 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/src/middleware/errorMiddleware.js (1166 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/src/middleware/validator.js (6301 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/src/middleware/errorHandler.js (1946 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/src/middleware/rateLimiter.js (2090 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/src/config/swagger.js (3670 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/src/config/sentry.js (914 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/src/utils/pdfGenerator.js (1615 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/src/utils/logger.js (1485 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/src/utils/carrierScraper.js (3519 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/src/utils/auth.js (2352 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/src/utils/audit.js (1253 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/src/utils/encryption.js (2274 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/src/utils/errors.js (1365 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/src/utils/redis.js (764 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/src/utils/quickBooksExporter.js (1392 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/src/utils/AppError.js (372 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/src/utils/auditLog.js (1936 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/src/__tests__/e2e_integrations.test.js (6539 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/src/scripts/seedLoadBoards.js (3564 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/src/routes/documents.js (3120 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/src/routes/ai.js (4151 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/src/routes/crm.js (1659 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/src/routes/loads.js (2760 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/src/routes/health.js (700 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/src/routes/carriers.js (1837 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/src/routes/compliance.js (2758 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/src/routes/accounting.js (3008 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/src/routes/payments.js (1550 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/src/routes/templates.js (4482 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/src/services/emailService.js (1417 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/src/services/marketRateService.js (1142 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/src/services/smsService.js (769 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/src/services/notificationService.js (3137 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/src/services/eld/GeotabAdapter.js (488 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/src/services/eld/OmnitracsAdapter.js (284 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Tech Trap Solutions/tools/package.json (284 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/src/services/eld/ELDFactory.js (803 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/src/services/eld/ELDAdapter.js (1309 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/src/services/eld/SamsaraAdapter.js (580 bytes)
[Deleted] /Volumes/CeeJay SSD/HDD_Import_20260131/Jayboi_Services_Site/storage.rules (580 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Jayboi_Services_Site/storage.rules (580 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/server/src/services/eld/MotiveAdapter.js (841 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/docs/deployment_options.md (2052 bytes)
[Deleted] /Volumes/CeeJay SSD/desktop_migrated/Dispatch App/docs/backend_implementation_plan.md (2115 bytes)
